
Date	Loans	Deposits	Total_Assets/Liabilities
2021Mar	1245194	1643050.00	1827205.00
2021Feb	1213047	1617587.00	1783466.00
2021Jan	1220667	1619016.00	1786456.00
2020Dec	1291373	1680257.00	1853595.00
2020Nov	1212439	1598768.00	1763910.00
2020Oct	1226865	1604654.00	1772246.00
2020Sep	1290344	1654931.00	1824324.00
2020Aug	1229078	1581925.00	1753865.00
2020Jul	1228547	1571232.00	1747727.00
2020Jun	1254699	1573166.00	1766075.00
2020May	1238707	1437860.00	1734594.00
2020Apr	1247198	1432280.00	1727907.00
2020Mar	1219605	1398242.00	1684371.00
2020Feb	993804	1289750.00	1447613.00
2020Jan	974321	1270505.00	1427083.00
2019Dec	1053229	1345936.00	1505162.00
2019Nov	1014280	1308342.00	1463410.00
2019Oct	1004249	1294792.00	1449556.00
2019Sep	1093528	1384071.00	1540059.00
2019Aug	1052548	1344730.00	1499943.00
2019Jul	1047405	1339742.00	1491677.00
2019Jun	1077969	1370448.00	1519638.00
2019May	1085983	1380090.00	1528114.00
2019Apr	1069861	1362763.00	1510882.00
2019Mar	1105516	1397462.00	1545766.00
2019Feb	1064987	1357061.00	1501933.00
2019Jan	1061527	1353337.00	1498435.00
2018Dec	1110762	1401251.00	1553873.00
2018Nov	1102762	1397620.00	1540628.00
2018Oct	1090344	1381421.00	1524836.00
2018Sep	1137617	1428373.00	1571532.00
2018Aug	1096440	1384972.00	1527065.00
2018Jul	1123811	1410432.00	1552059.00
2018Jun	1152259	1435701.00	1579116.00
2018May	1142757	1427056.00	1567852.00
2018Apr	1107323	1388854.00	1527148.00
2018Mar	1100143	1367814.00	1515045.00
2018Feb	1094183	1366737.00	1504854.00
2018Jan	1055660	1326141.00	1462651.00
2017Dec	1052985	1306964.00	1461357.00
2017Nov	1034512	1297316.00	1435095.00
2017Oct	1016362	1271005.00	1411036.00
2017Sep	1033825	1281985.00	1422663.00
2017Aug	1031128	1277784.00	1415029.00
2017Jul	1026208	1270276.00	1407261.00
2017Jun	1015582	1252456.00	1393436.00
2017May	1035422	1269356.00	1408134.00
2017Apr	1031684	1260261.00	1401639.00
2017Mar	1023253	1242009.00	1388379.00
2017Feb	976419	1191821.00	1335293.00
2017Jan	931811	1140389.00	1281978.00
2016Dec	912044	1102188.00	1256266.00
2016Nov	927407	1123435.00	1263160.00
2016Oct	895478	1084870.00	1223900.00
2016Sep	915694	1092833.00	1236306.00
2016Aug	858513	1033009.00	1170675.00
2016Jul	841469	1010770.00	1148698.00
2016Jun	834503	995900.00	1133886.00
2016May	847733	997670.00	1135319.00
2016Apr	813267	954880.00	1091279.00
2016Mar	777140	914109.00	1046279.00
2016Feb	796099	931298.00	1062618.00
2016Jan	758721	886849.00	1016293.00
2015Dec	733567	854553.00	985566.00
2015Nov	749780	861489.00	997119.00
2015Oct	718571	823940.00	957909.00
2015Sep	710548	813054.00	942107.00
2015Aug	725238	823414.00	950349.00
2015Jul	688776	781444.00	909450.00
2015Jun	666809	754957.00	881810.00
2015May	662352	744607.00	872123.00
2015Apr	655311	731319.00	856821.00
2015Mar	646087	715126.00	843702.00
