Month,remainder
2005 Jan,-4.5563302809448203e-4
2005 Feb,0.0025274878381864596
2005 Mar,7.352149741084446e-4
2005 Apr,0.0011825836067327344
2005 May,-0.003195045672260477
2005 Jun,-0.0017170886877249103
2005 Jul,1.1699382346463949e-5
2005 Aug,-9.076989325631502e-4
2005 Sep,0.0011042157098266614
2005 Oct,-8.659169744689166e-4
2005 Nov,-9.683834222329324e-5
2005 Dec,-0.00159636374851857
2006 Jan,-3.74327462866475e-4
2006 Feb,5.750158903694569e-5
2006 Mar,-0.0030291761550991225
2006 Apr,-6.429224661363975e-4
2006 May,0.0018363889378019138
2006 Jun,0.0021505237592513993
2006 Jul,-9.729516502154922e-5
2006 Aug,-3.092238186184204e-4
2006 Sep,-0.0012843856486224325
2006 Oct,-4.1618874007376405e-4
2006 Nov,0.0020522720623148416
2006 Dec,0.008299004738686833
2007 Jan,0.0015810352984964027
2007 Feb,9.170816030685813e-4
2007 Mar,7.821809125534429e-4
2007 Apr,0.002745920685200076
2007 May,-2.027232108670063e-4
2007 Jun,3.3891900204174874e-4
2007 Jul,-1.871450942267927e-4
2007 Aug,3.5129003224554367e-4
2007 Sep,5.863965931549586e-4
2007 Oct,0.0015243790500392151
2007 Nov,0.0011781807728024063
2007 Dec,0.0014724386479301188
2008 Jan,0.002046318357514565
2008 Feb,0.007837020114347837
2008 Mar,0.002917484536189008
2008 Apr,0.007821595544591275
2008 May,0.006149357928872945
2008 Jun,0.006586442178479146
2008 Jul,0.00652417737342148
2008 Aug,0.008137509058808945
2008 Sep,0.013826737503956466
2008 Oct,0.008626134845323818
2008 Nov,-3.605785083529156e-4
2008 Dec,-0.008709662129550821
2009 Jan,-0.017829306099988784
2009 Feb,-0.02534827032675757
2009 Mar,-0.03299751553981345
2009 Apr,-0.023580031614340413
2009 May,-0.018969439120194664
2009 Jun,-0.013786005230254972
2009 Jul,-0.009939680586592559
2009 Aug,-0.009258968988847371
2009 Sep,-0.0017204051986841051
2009 Oct,5.373232167649178e-4
2009 Nov,-0.0017174799242667405
2009 Dec,4.3591986279700734e-4
2010 Jan,-0.0017317465619726136
2010 Feb,-0.0026219111524596883
2010 Mar,-0.0020369709443315287
2010 Apr,2.738995404225619e-4
2010 May,0.001776878422509398
2010 Jun,0.0022948705543051062
2010 Jul,8.966597032920021e-4
2010 Aug,-9.462457577207317e-4
2010 Sep,-3.300893936124538e-4
2010 Oct,-9.912919187353708e-4
2010 Nov,0.0012581310339516705
2010 Dec,0.00490757750119819
2011 Jan,0.004559318170130666
2011 Feb,0.009108785474371217
2011 Mar,0.003565128225444525
2011 Apr,0.00723904871042258
2011 May,0.0011791214030534292
2011 Jun,1.971814463175292e-5
2011 Jul,0.0020708943293978876
2011 Aug,0.0027975850421828596
2011 Sep,0.002575494874392348
2011 Oct,0.0016374615886682875
2011 Nov,0.0012564117644551231
2011 Dec,-2.4319309182097015e-4
2012 Jan,-0.0010393140107947119
2012 Feb,-3.1842673456772275e-4
2012 Mar,4.261398381260051e-4
2012 Apr,-3.501313325493527e-4
2012 May,-5.284712445448037e-4
2012 Jun,-2.1003249921669465e-4
2012 Jul,-0.0010660674853575358
2012 Aug,0.001332882954516279
2012 Sep,6.710243112397762e-4
2012 Oct,8.675575234917687e-5
2012 Nov,-0.003141585989542506
2012 Dec,-0.003067628250716936
2013 Jan,-0.00625065619343701
2013 Feb,-0.007705223623201363
2013 Mar,-0.006007508495436298
2013 Apr,-0.003020742334246762
2013 May,-3.958269994512875e-4
2013 Jun,-3.667465919718893e-4
2013 Jul,-7.417330487520246e-4
2013 Aug,-4.6084328107731665e-4
2013 Sep,4.014064257162886e-5
2013 Oct,-0.0022565080831338236
2013 Nov,0.0014536169623884376
2013 Dec,5.769549885439318e-4
2014 Jan,4.0721107242447374e-4
2014 Feb,3.7219687901313137e-4
2014 Mar,-0.0010987304240916984
2014 Apr,0.0012905587120641826
2014 May,-0.0018639546040652988
2014 Jun,-0.001657413458877599
2014 Jul,-0.0011096820313323263
2014 Aug,-6.639074227194897e-4
2014 Sep,-8.715148146443141e-5
2014 Oct,-2.2680423318277576e-4
2014 Nov,-9.481001907349906e-4
2014 Dec,-1.1117047040976047e-4
2015 Jan,-0.0014123933827185908
